origin_sheet,id,progressivo,tipo_veicolo,destinazione,uso,comune_residenza,provincia_residenza,regione_residenza,eta_intestatario,sesso,marca,cilindrata,alimentazione,kw,data_immatricolazione,classe_euro,emissioni_co2,massa_complessiva,revisione_in_regola,assicurazione_in_regola
inputFileTwo,412574,17106861,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CITTA' SANT'ANGELO,PESCARA,ABRUZZO,51,F,MERCEDES,1598.00,BENZ,75,1999-09-03 00:00:00,2,,1500,S,S
inputFileTwo,250504,9461214,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PESCARA,PESCARA,ABRUZZO,52,F,LANCIA - AUTOBIANCHI,1108.00,BENZ,41,1990-10-29 00:00:00,0,,1195,S,S
inputFileTwo,685101,28524960,A,AUTOCARRO PER TRASPORTO DI COSE,PROPRIO,TORTORETO,TERAMO,ABRUZZO,84,M,FIAT - INNOCENTI,2500.00,GASOL,62,1996-12-31 00:00:00,2,,3250,N,N
inputFileTwo,189962,6904095,A,AUTOVEIC.TRASP.PROMISCUO PERSONE/COSE,PROPRIO,SANT'OMERO,TERAMO,ABRUZZO,47,M,FIAT - INNOCENTI,2088.00,GASOL,80,1999-06-03 00:00:00,2,,2385,N,N
inputFileTwo,535349,20635365,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,AVEZZANO,L'AQUILA,ABRUZZO,79,M,FORD,1597.00,B/GPL,65,1991-01-01 00:00:00,0,,1465,N,N
inputFileTwo,377372,16577468,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,NERETO,TERAMO,ABRUZZO,73,M,RENAULT,1390.00,BENZ,57,1990-01-01 00:00:00,0,,1400,N,N
inputFileTwo,305827,12627377,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,SAN GIOVANNI TEATINO,CHIETI,ABRUZZO,42,F,KYMCO,125.00,BENZ,7,2005-04-15 00:00:00,2,,276,N,N
inputFileTwo,548979,20948702,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,L'AQUILA,L'AQUILA,ABRUZZO,56,M,HONDA,1343.00,BENZ,48,2000-12-05 00:00:00,3,150,1365,S,S
inputFileTwo,658275,26919859,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,SAN GIOVANNI TEATINO,CHIETI,ABRUZZO,38,M,FORD,1242.00,BENZ,51,2011-09-07 00:00:00,5,115,1320,S,S
inputFileTwo,986849,43606753,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,MONTESILVANO,PESCARA,ABRUZZO,58,F,FIAT - INNOCENTI,1248.00,GASOL,55,2009-11-06 00:00:00,4,119,1650,S,S
inputFileTwo,654237,26686263,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,MONTESILVANO,PESCARA,ABRUZZO,56,M,SUZUKI,400.00,BENZ,24,2012-03-16 00:00:00,3,,415,S,N
inputFileTwo,524733,20354539,M,QUADRICICLO PER TRASP. DI PERSONE,PROPRIO,ROSETO DEGLI ABRUZZI,TERAMO,ABRUZZO,43,M,POLARIS,498.00,BENZ,9,2003-02-04 00:00:00,0,,500,N,N
