section,longname,sheet,keystrokes,description,lang,description_it,section_it
,slide-bottom,TableSheet,gShift+J,slide current row all the way to the bottom of sheet,it,,
,slide-down,TableSheet,Shift+J,slide current row down,it,,
,slide-down-n,TableSheet,zShift+J,slide current row N positions down,it,,
,slide-left,TableSheet,Shift+H,slide current column left,it,,
,slide-left-n,TableSheet,zShift+H,slide current column N positions to the left,it,,
,slide-leftmost,TableSheet,gShift+H,slide current column all the way to the left of sheet,it,,
,slide-right,TableSheet,Shift+L,slide current column right,it,,
,slide-right-n,TableSheet,zShift+L,slide current column N positions to the right,it,,
,slide-rightmost,TableSheet,gShift+L,slide current column all the way to the right of sheet,it,,
,slide-top,TableSheet,gShift+K,slide current row to top of sheet,it,,
,slide-up,TableSheet,Shift+K,slide current row up,it,,
,slide-up-n,TableSheet,zShift+K,slide current row N positions up,it,,
,sort-asc,TableSheet,[,sort ascending by current column; replace any existing sort criteria,it,,
,sort-asc-add,TableSheet,z[,sort ascending by current column; add to existing sort criteria,it,,
,sort-desc,TableSheet,],sort descending by current column; replace any existing sort criteria ,it,,
,sort-desc-add,TableSheet,z],sort descending by current column; add to existing sort criteria,it,,
,sort-keys-asc,TableSheet,g[,sort ascending by all key columns; replace any existing sort criteria,it,,
,sort-keys-asc-add,TableSheet,gz[,sort ascending by all key columns; add to existing sort criteria,it,,
,sort-keys-desc,TableSheet,g],sort descending by all key columns; replace any existing sort criteria,it,,
,sort-keys-desc-add,TableSheet,gz],sort descending by all key columns; add to existing sort criteria,it,,
,split-col,TableSheet,:,Add new columns from regex split,it,,
,stoggle-after,TableSheet,gzt,toggle selection of all rows from cursor to bottom,it,,
,stoggle-before,TableSheet,zt,toggle selection of rows from top to cursor,it,,
,stoggle-row,TableSheet,t,toggle selection of current row,it,,
,stoggle-rows,TableSheet,gt,toggle selection of all rows,it,,
,syscopy-cell,TableSheet,zShift+Y,yank (copy) current cell to system clipboard (using options.clipboard_copy_cmd),it,,
,syscopy-cells,TableSheet,gzShift+Y,yank (copy) contents of current column from selected rows to system clipboard (using options.clipboard_copy_cmd,it,,
,syscopy-row,TableSheet,Shift+Y,yank (copy) current row to system clipboard (using options.clipboard_copy_cmd),it,,
,syscopy-selected,TableSheet,gShift+Y,yank (copy) selected rows to system clipboard (using options.clipboard_copy_cmd),it,,
,syspaste-cells,TableSheet,BUTTON2_RELEASED,paste from system clipboard to region starting at cursor,it,,
,syspaste-cells-selected,TableSheet,gzShift+P,paste from system clipboard to selected cells,it,,
,transpose,TableSheet,Shift+T,open new sheet with rows and columns transposed,it,,
,type-any,TableSheet,z~,set type of current column to anytype,it,,
,type-currency,TableSheet,$,set type of current column to currency,it,,
,type-customdate,TableSheet,z@,set type of current column to custom date format,it,,
,type-date,TableSheet,@,set type of current column to date,it,,
,type-float,TableSheet,%,set type of current column to float,it,,
,type-floatlocale,TableSheet,,set type of current column to float using system locale set in LC_NUMERIC,it,,
,type-floatsi,TableSheet,z%,set type of current column to SI float,it,,
,type-int,TableSheet,#,set type of current column to int,it,,
,type-len,TableSheet,z#,set type of current column to len,it,,
,type-string,TableSheet,~,set type of current column to str,it,,
,unfurl-col,TableSheet,zShift+M,row-wise expand current column of lists (e.g. [2]) or dicts (e.g. {3}) within that column,it,,
,unhide-cols,TableSheet,gv,Show all columns,it,,
,unselect-after,TableSheet,gzu,unselect all rows from cursor to bottom,it,,
,unselect-before,TableSheet,zu,unselect all rows from top to cursor,it,,
,unselect-col-regex,TableSheet,\,unselect rows matching regex in current column,it,,
,unselect-cols-regex,TableSheet,g\,unselect rows matching regex in any visible column,it,,
,unselect-expr,TableSheet,z\,unselect rows matching Python expression in any visible column,it,,
,unselect-row,TableSheet,u,unselect current row,it,,
,unselect-rows,TableSheet,gu,unselect all rows,it,,
,view-cell,TableSheet,,view contents of current cell in a new sheet,it,,
,visibility-col,TableSheet,zv,,it,,
,visibility-sheet,TableSheet,v,,it,,
,delete-cursor,TextCanvas,d,delete first item under cursor,it,,
,delete-selected,TextCanvas,gd,delete selected rows on source sheet,it,,
,dive-cursor,TextCanvas,Enter,dive into source rows under cursor,it,,
,dive-selected,TextCanvas,gEnter,dive into selected source rows,it,,
,end-cursor,TextCanvas,BUTTON1_RELEASED,end cursor box with left mouse button release,it,,
,go-down,TextCanvas,Down,,it,,
,go-left,TextCanvas,Left,,it,,
,go-right,TextCanvas,Right,,it,,
,go-up,TextCanvas,Up,,it,,
,move-cursor,TextCanvas,LeftClick,start cursor box with left mouse button press,it,,
,resize-cursor-max,TextCanvas,g_,,it,,
,resize-cursor-min,TextCanvas,z_,,it,,
,resize-cursor-min-height,TextCanvas,gzUp,,it,,
,resize-cursor-min-width,TextCanvas,gzLeft,,it,,
,resize-cursor-shorter,TextCanvas,zUp,decrease cursor height by one character,it,,
,resize-cursor-taller,TextCanvas,zDown,increase cursor height by one character,it,,
,resize-cursor-thinner,TextCanvas,Ctrl+Left,decrease cursor width by one character,it,,
,resize-cursor-wider,TextCanvas,Ctrl+Right,increase cursor width by one character,it,,
,select-all,TextCanvas,gs,,it,,
,select-cursor,TextCanvas,s,,it,,
,select-top-cursor,TextCanvas,zs,,it,,
,slide-bottom-obj,TextCanvas,gShift+J,slide all selected objects all the way bottom,it,,
,slide-down-obj,TextCanvas,Shift+J,slide selected objects down one character,it,,
,slide-left-obj,TextCanvas,Shift+H,slide selected objects left one character,it,,
,slide-leftmost-obj,TextCanvas,gShift+H,slide selected objects all the way left,it,,
,slide-right-obj,TextCanvas,Shift+L,slide selected objects right one character,it,,
,slide-rightmost-obj,TextCanvas,gShift+L,slide all selected objects all the way right,it,,
,slide-top-obj,TextCanvas,gShift+K,slide all selected objects all the way top,it,,
,slide-up-obj,TextCanvas,Shift+K,slide selected objects up one character,it,,
,toggle-all,TextCanvas,gt,,it,,
,toggle-cursor,TextCanvas,t,,it,,
,toggle-top-cursor,TextCanvas,zt,,it,,
,unselect-all,TextCanvas,gu,,it,,
,unselect-cursor,TextCanvas,u,,it,,
,unselect-top-cursor,TextCanvas,zu,,it,,
,sysopen-sheet,TextSheet,Ctrl+O,open copy of text sheet in $EDITOR and reload on exit,it,,
,add-row,ThreadsSheet,a,invalid command,it,,
,cancel-thread,ThreadsSheet,Ctrl+C,abort thread at current row,it,,
,addcol-xmlattr,XmlSheet,za,add column for xml attribute,it,,
,visibility,XmlSheet,v,show only columns in current row attributes,it,,
,extract-file,ZipSheet,x,extract current file to current directory,it,,
,extract-file-to,ZipSheet,zx,extract current file to given pathname,it,,
,extract-selected,ZipSheet,gx,extract selected files to current directory,it,,
,extract-selected-to,ZipSheet,gzx,extract selected files to given directory,it,,
